"NomBan","NomAlb","NomGen","Estrellas"
"Amon Amarth","Twilight of the Thunder God","Extreme","1"
"Amon Amarth","Twilight of the Thunder God","Viking","4"
"Amon Amarth","Versus the World","Death-Melodic","3"
"Amon Amarth","Versus the World","Extreme","1"
"Amon Amarth","Versus the World","Viking","2"
"Amon Amarth","With Oden on Our Side","Death-Melodic","4"
"Amon Amarth","With Oden on Our Side","Extreme","2"
"Amon Amarth","With Oden on Our Side","Viking","2"
"Amorphis","Am Universum","Progressive","0"
"Amorphis","Am Universum","Rock","0"
"Amorphis","Eclipse","Folk","1"
"Amorphis","Elegy","Death-Melodic","0"
"Amorphis","Elegy","Folk","0"
"Amorphis","Elegy","Progressive","0"
"Amorphis","Queen of Time","Death-Melodic","0"
"Amorphis","Queen of Time","Folk","2"
"Amorphis","Queen of Time","Progressive","0"
"Amorphis","Silent Waters","Folk","0"
"Amorphis","Skyforger","Death-Melodic","1"
"Amorphis","Skyforger","Folk","1"
"Amorphis","Skyforger","Power","0"
"Amorphis","Skyforger","Progressive","0"
"Amorphis","Tales from the Thousand Lakes","Death-Melodic","4"
"Amorphis","Tales from the Thousand Lakes","Death.","2"
"Amorphis","Tales from the Thousand Lakes","Doom","1"
"Amorphis","Tales from the Thousand Lakes","Extreme","1"
"Amorphis","Tales from the Thousand Lakes","Folk","2"
"Amorphis","Tales from the Thousand Lakes","Progressive","0"
"Amorphis","Under the Red Cloud","Death-Melodic","0"
"Amorphis","Under the Red Cloud","Folk","3"
"Amorphis","Under the Red Cloud","Progressive","0"
"Anathema","A Natural Disaster","Alternative","0"
"Anathema","A Natural Disaster","Progressive","0"
"Anathema","Alternative 4","Alternative","0"
"Anathema","Alternative 4","Doom","3"
"Anathema","Alternative 4","Gothic","2"
"Anathema","Alternative 4","Progressive","0"
"Anathema","Eternity","Doom","2"
"Anathema","Eternity","Gothic","1"
"Anathema","Judgement","Alternative","0"
"Anathema","Judgement","Doom","2"
"Anathema","Judgement","Gothic","0"
"Anathema","Judgement","Progressive","0"
"Anathema","The Silent Enigma","Death.","0"
"Anathema","The Silent Enigma","Doom","2"
"Anathema","The Silent Enigma","Gothic","1"
"Anathema","We're Here Because We're Here","Alternative","0"
"Anathema","We're Here Because We're Here","Atmospheric","0"
"Anathema","We're Here Because We're Here","Progressive","0"
"Anathema","We're Here Because We're Here","Rock","0"
"Anathema","Weather Systems","Alternative","0"
"Anathema","Weather Systems","Progressive","0"
"Anathema","Weather Systems","Rock","0"
"Angel Witch","Angel Witch","Heavy","0"
"Angel Witch","Angel Witch","NWOBHM","5"
"Angel Witch","Angel Witch","Speed","1"
"Angel Witch","Give It Some Tickle","Heavy","0"
"Angel Witch","Give It Some Tickle","NWOBHM","0"
"Angra","Angels Cry","Power","1"
"Angra","Angels Cry","Progressive","0"
"Angra","Holy Land","Folk","0"
"Angra","Holy Land","Power","0"
"Angra","Holy Land","Progressive","0"
"Angra","Rebirth","Power","3"
"Angra","Rebirth","Progressive","0"
"Angra","Temple of Shadows","Power","4"
"Angra","Temple of Shadows","Progressive","0"
"Angra","Temple of Shadows","Symphonic","0"
"Animals as Leaders","Animals as Leaders","Djent","5"
"Animals as Leaders","Animals as Leaders","Progressive","1"
"Animals as Leaders","Animals as Leaders","Rock","0"
"Animals as Leaders","The Joy of Motion","Djent","4"
"Animals as Leaders","The Joy of Motion","Jazz Fusion","0"
"Animals as Leaders","The Joy of Motion","Progressive","1"
"Animals as Leaders","The Madness of Many","Djent","4"
"Animals as Leaders","The Madness of Many","Jazz Fusion","0"
"Animals as Leaders","The Madness of Many","Progressive","0"
"Animals as Leaders","Weightless","Djent","3"
"Animals as Leaders","Weightless","Progressive","0"
"Animals as Leaders","Weightless","Rock","0"
"Annihilator","Alice in Hell","Speed","1"
"Annihilator","Alice in Hell","Thrash.","3"
"Annihilator","Feast","Thrash.","0"
"Annihilator","King of the Kill","Heavy","0"
"Annihilator","King of the Kill","Progressive","0"
"Annihilator","King of the Kill","Thrash.","0"
"Annihilator","Never, Neverland","Progressive","0"
"Annihilator","Never, Neverland","Thrash.","0"
"Annihilator","Set the World on Fire","Heavy","0"
"Annihilator","Set the World on Fire","Progressive","0"
"Annihilator","Set the World on Fire","Thrash.","0"
"Anthrax","Among the Living","Thrash-Crossover","1"
"Anthrax","Among the Living","Thrash.","5"
"Anthrax","Attack of the Killer B's","Rap","0"
"Anthrax","Attack of the Killer B's","Thrash.","0"
"Anthrax","Fistful of Metal","Heavy","0"
"Anthrax","Fistful of Metal","Speed","4"
"Anthrax","Fistful of Metal","Thrash.","0"
"Anthrax","For All Kings","Heavy","0"
"Anthrax","For All Kings","Thrash.","1"
"Anthrax","I'm the Man","Comedy","0"
"Anthrax","I'm the Man","Rap","0"
"Anthrax","I'm the Man","Thrash.","0"
"Anthrax","Persistence of Time","Thrash.","0"
"Anthrax","Sound of White Noise","Alternative","0"
"Anthrax","Sound of White Noise","Groove","2"
"Anthrax","Sound of White Noise","Heavy","0"
"Anthrax","Spreading the Disease","Speed","2"
"Anthrax","Spreading the Disease","Thrash.","2"
"Anthrax","State of Euphoria","Thrash.","0"
"Anthrax","Worship Music","Groove","0"
"Anthrax","Worship Music","Heavy","0"
"Anthrax","Worship Music","Thrash.","1"
"Anvil","Hard 'n' Heavy","Hard","0"
"Anvil","Hard 'n' Heavy","Heavy","0"
"Anvil","Metal on Metal","Heavy","1"
"Anvil","Metal on Metal","Speed","1"
"Apocalyptica","7th Symphony","Alternative","0"
"Apocalyptica","7th Symphony","Cello","0"
"Apocalyptica","7th Symphony","Neoclassical","0"
"Apocalyptica","7th Symphony","Progressive","0"
"Apocalyptica","7th Symphony","Rock","0"
"Apocalyptica","7th Symphony","Symphonic","0"
"Apocalyptica","Apocalyptica","Cello","0"
"Apocalyptica","Apocalyptica","Neoclassical","0"
"Apocalyptica","Apocalyptica","Progressive","0"
"Apocalyptica","Apocalyptica","Rock","0"
"Apocalyptica","Apocalyptica","Symphonic","0"
"Apocalyptica","Cult","Cello","0"
"Apocalyptica","Cult","Neoclassical","0"
"Apocalyptica","Cult","Progressive","0"
"Apocalyptica","Cult","Rock","0"
"Apocalyptica","Cult","Symphonic","0"
"Apocalyptica","Inquisition Symphony","Cello","0"
"Apocalyptica","Inquisition Symphony","Classical","0"
"Apocalyptica","Inquisition Symphony","Rock","0"
"Apocalyptica","Inquisition Symphony","Symphonic","0"
"Apocalyptica","Plays Metallica by Four Cellos","Cello","0"
"Apocalyptica","Plays Metallica by Four Cellos","Classical","0"
"Apocalyptica","Plays Metallica by Four Cellos","Rock","0"
"Apocalyptica","Plays Metallica by Four Cellos","Symphonic","0"
"Apocalyptica","Worlds Collide","Cello","0"
"Apocalyptica","Worlds Collide","Neoclassical","0"
"Apocalyptica","Worlds Collide","Progressive","0"
"Apocalyptica","Worlds Collide","Rock","0"
"Apocalyptica","Worlds Collide","Symphonic","1"
"Arch Enemy","Anthems of Rebellion","Death-Melodic","1"
"Arch Enemy","Anthems of Rebellion","Extreme","0"
"Arch Enemy","Black Earth","Death-Melodic","3"
"Arch Enemy","Black Earth","Extreme","1"
"Arch Enemy","Burning Bridges","Death-Melodic","3"
"Arch Enemy","Burning Bridges","Extreme","1"
"Arch Enemy","Doomsday Machine","Death-Melodic","2"
"Arch Enemy","Doomsday Machine","Extreme","0"
"Arch Enemy","Khaos Legions","Death-Melodic","0"
"Arch Enemy","Rise of the Tyrant","Death-Melodic","2"
"Arch Enemy","Rise of the Tyrant","Extreme","0"
"Arch Enemy","Wages of Sin","Death-Melodic","3"
"Arch Enemy","Wages of Sin","Extreme","2"
"Arch Enemy","War Eternal","Death-Melodic","2"
"Arch Enemy","Will to Power","Death-Melodic","1"
"Architects","All Our Gods Have Abandoned Us","Metalcore","3"
"Architects","Daybreaker","Mathcore","0"
"Architects","Daybreaker","Metalcore","0"
"Architects","Daybreaker","Post-Hardcore","0"
"Architects","Daybreaker","Progressive","0"
"Architects","Hollow Crown","Mathcore","0"
"Architects","Hollow Crown","Metalcore","0"
"Architects","Holy Hell","Metalcore","2"
"Architects","Lost Forever // Lost Together","Metalcore","2"
"Architects","The Here and Now","Metalcore","0"
"Architects","The Here and Now","Post-Hardcore","0"
"Arkona","Goi, Rode, Goi!","Folk","3"
"Arkona","Goi, Rode, Goi!","Pagan","0"
"Arkona","Khram","Folk","0"
"Arkona","Khram","Pagan","0"
"Arkona","Ot Serdtsa k Nebu","Folk","0"
"Arkona","Ot Serdtsa k Nebu","Pagan","0"
"Arkona","Slovo","Folk","0"
"Arkona","Slovo","Pagan","0"
"Arkona","Stenka na Stenku","Folk","0"
"Arkona","Stenka na Stenku","Pagan","0"
"Arkona","Vo Slavu Velikim!","Folk","3"
"Arkona","Vo Slavu Velikim!","Pagan","0"
"Arkona","Vozrozhdeniye","Folk","0"
"Arkona","Yav","Folk","0"
"Arkona","Yav","Pagan","0"
"As I Lay Dying","An Ocean Between Us","Metalcore","4"
"As I Lay Dying","Frail Words Collapse","Metalcore","2"
"As I Lay Dying","Shadows Are Security","Metalcore","2"
"As I Lay Dying","Shaped by Fire","Metalcore","1"
"As I Lay Dying","The Powerless Rise","Metalcore","3"
"Asking Alexandria","Asking Alexandria","Alternative","0"
"Asking Alexandria","Asking Alexandria","Metalcore","0"
"Asking Alexandria","Asking Alexandria","Post-Hardcore","0"
"Asking Alexandria","From Death to Destiny","Hard","0"
"Asking Alexandria","From Death to Destiny","Metalcore","0"
"Asking Alexandria","Reckless & Relentless","Electronic","0"
"Asking Alexandria","Reckless & Relentless","Metalcore","0"
"Asking Alexandria","Reckless & Relentless","Post-Hardcore","0"
"Asking Alexandria","Stand Up and Scream","Electronic","0"
"Asking Alexandria","Stand Up and Scream","Metalcore","1"
"Asking Alexandria","Stand Up and Scream","Post-Hardcore","0"
"Asking Alexandria","The Black","Electronic","0"
"Asking Alexandria","The Black","Metalcore","0"
"Asking Alexandria","The Black","Post-Hardcore","0"
"At the Gates","At War with Reality","Death-Melodic","0"
"At the Gates","Slaughter of the Soul","Death-Melodic","5"
"At the Gates","Slaughter of the Soul","Death.","4"
"At the Gates","Slaughter of the Soul","Extreme","5"
"At the Gates","Terminal Spirit Disease","Death-Melodic","2"
"At the Gates","Terminal Spirit Disease","Extreme","0"
"Atreyu","A Death-Grip On Yesterday","Metalcore","0"
"Atreyu","In Our Wake","Alternative","0"
"Atreyu","In Our Wake","Hard","0"
"Atreyu","In Our Wake","Metalcore","0"
"Atreyu","Lead Sails Paper Anchor","Alternative","1"
"Atreyu","Lead Sails Paper Anchor","Hard","0"
"Atreyu","Lead Sails Paper Anchor","Metalcore","1"
"Atreyu","Suicide Notes and Butterfly Kisses","Metalcore","0"
"Atreyu","The Curse","Metalcore","2"
"August Burns Red","Constellations","Metalcore","4"
"August Burns Red","Found in Far Away Places","Metalcore","0"
"August Burns Red","Leveler","Metalcore","0"
"August Burns Red","Lost Messengers: The Outtakes","Metalcore","0"
"August Burns Red","Messengers","Metalcore","0"
"August Burns Red","Phantom Anthem","Metalcore","0"
"August Burns Red","Rescue & Restore","Metalcore","0"
"Avantasia","Ghostlights","Hard","0"
"Avantasia","Ghostlights","Power","0"
"Avantasia","Ghostlights","Symphonic","1"
"Avantasia","Lost in Space Pt. I EP","Power","0"
"Avantasia","Lost in Space Pt. I EP","Symphonic","0"
"Avantasia","Moonglow","Power","0"
"Avantasia","Moonglow","Symphonic","1"
"Avantasia","The Metal Opera, Pt. I","Power","4"
"Avantasia","The Metal Opera, Pt. I","Symphonic","3"
"Avantasia","The Metal Opera, Pt. II","Power","0"
"Avantasia","The Metal Opera, Pt. II","Symphonic","0"
"Avantasia","The Scarecrow","Heavy","0"
"Avantasia","The Scarecrow","Power","0"
"Avantasia","The Scarecrow","Symphonic","0"
"Avantasia","The Wicked Symphony","Heavy","0"
"Avantasia","The Wicked Symphony","Power","0"
"Avantasia","The Wicked Symphony","Symphonic","1"
"Avatar","Avatar","Death-Melodic","0"
"Avatar","Avatar","Groove","0"
"Avatar","Avatar Country","Alternative","0"
"Avatar","Avatar Country","Death-Melodic","1"
"Avatar","Avatar Country","Groove","0"
"Avatar","Black Waltz","Death-Melodic","1"
"Avatar","Black Waltz","Groove","0"
"Avatar","Black Waltz","Industrial","0"
"Avatar","Feathers & Flesh","Alternative","0"
"Avatar","Feathers & Flesh","Death-Melodic","0"
"Avatar","Feathers & Flesh","Groove","0"
"Avatar","Hail the Apocalypse","Death-Melodic","1"
"Avatar","Hail the Apocalypse","Groove","1"
"Avatar","Hail the Apocalypse","Industrial","0"
"Avatar","Hail the Apocalypse","Progressive","0"
"Avenged Sevenfold","Avenged Sevenfold","Hard","0"
"Avenged Sevenfold","Avenged Sevenfold","Heavy","1"
"Avenged Sevenfold","City of Evil","Hard","0"
"Avenged Sevenfold","City of Evil","Heavy","1"
"Avenged Sevenfold","Hail to the King","Hard","1"
"Avenged Sevenfold","Hail to the King","Heavy","1"
"Avenged Sevenfold","Nightmare","Hard","0"
"Avenged Sevenfold","Nightmare","Heavy","1"
"Avenged Sevenfold","Waking the Fallen","Metalcore","4"
"Baroness","Blue Record","Progressive","1"
"Baroness","Blue Record","Sludge","3"
"Baroness","Gold & Grey","Progressive","0"
"Baroness","Gold & Grey","Sludge","0"
"Baroness","Purple","Progressive","0"
"Baroness","Purple","Sludge","0"
"Baroness","Red Album","Progressive","1"
"Baroness","Red Album","Sludge","5"
"Baroness","Yellow & Green","Progressive","1"
"Baroness","Yellow & Green","Sludge","1"
"Bathory","Bathory","Black.","4"
"Bathory","Bathory","Extreme","3"
"Bathory","Bathory","FW-Black","4"
"Bathory","Blood Fire Death","Black.","5"
"Bathory","Blood Fire Death","Extreme","4"
"Bathory","Blood Fire Death","FW-Black","5"
"Bathory","Blood Fire Death","Viking","4"
"Bathory","Blood on Ice","Viking","3"
"Bathory","Hammerheart","Extreme","1"
"Bathory","Hammerheart","Folk","2"
"Bathory","Hammerheart","Viking","5"
"Bathory","Jubileum Volume III","Black.","0"
"Bathory","Jubileum Volume III","FW-Black","0"
"Bathory","Jubileum Volume III","Thrash.","0"
"Bathory","Jubileum Volume III","Viking","0"
"Bathory","Northland I","Folk","3"
"Bathory","Northland I","Viking","4"
"Bathory","Northland II","Viking","3"
"Bathory","The Return……","Black.","0"
"Bathory","The Return……","Extreme","0"
"Bathory","The Return……","FW-Black","0"
"Bathory","Twilight of the Gods","Extreme","1"
"Bathory","Twilight of the Gods","Viking","5"
"Bathory","Under the Sign of the Black Mark","Black.","4"
"Bathory","Under the Sign of the Black Mark","Extreme","4"
"Bathory","Under the Sign of the Black Mark","FW-Black","4"
"Battle Beast","Battle Beast","Heavy","1"
"Battle Beast","Battle Beast","Power","1"
"Battle Beast","Bringer of Pain","Heavy","1"
"Battle Beast","Bringer of Pain","Power","1"
"Battle Beast","No More Hollywood Endings","Heavy","0"
"Battle Beast","No More Hollywood Endings","Power","0"
"Battle Beast","Steel","Heavy","0"
"Battle Beast","Steel","Power","0"
"Battle Beast","Unholy Savior","Heavy","0"
"Battle Beast","Unholy Savior","Power","0"
"Behemoth","Demigod","Black.","1"
"Behemoth","Demigod","Death.","2"
"Behemoth","Demigod","Extreme","1"
"Behemoth","Evangelion","Black.","1"
"Behemoth","Evangelion","Death.","1"
"Behemoth","Evangelion","Extreme","3"
"Behemoth","Satanica","Black.","0"
"Behemoth","Satanica","Death.","0"
"Behemoth","Satanica","Extreme","1"
"Behemoth","The Apostasy","Black.","0"
"Behemoth","The Apostasy","Death.","0"
"Behemoth","The Apostasy","Extreme","1"
"Behemoth","The Satanist","Black.","3"
"Behemoth","The Satanist","Death.","1"
"Behemoth","The Satanist","Extreme","3"
"Between the Buried and Me","Alaska","Death-Tech","0"
"Between the Buried and Me","Alaska","Metalcore","0"
"Between the Buried and Me","Alaska","Progressive","0"
"Between the Buried and Me","Automata I","Death-Tech","0"
"Between the Buried and Me","Automata I","Progressive","0"
"Between the Buried and Me","Colors","Death-Tech","0"
"Between the Buried and Me","Colors","Mathcore","1"
"Between the Buried and Me","Colors","Metalcore","3"
"Between the Buried and Me","Colors","Progressive","4"
"Between the Buried and Me","Coma Ecliptic","Progressive","0"
"Between the Buried and Me","The Great Misdirect","Death-Tech","0"
"Between the Buried and Me","The Great Misdirect","Metalcore","2"
"Between the Buried and Me","The Great Misdirect","Progressive","0"
"Between the Buried and Me","The Parallax II: Future Sequence","Avant-Garde","0"
"Between the Buried and Me","The Parallax II: Future Sequence","Death-Tech","0"
"Between the Buried and Me","The Parallax II: Future Sequence","Metalcore","2"
"Between the Buried and Me","The Parallax II: Future Sequence","Progressive","2"
